sample_id,partner_sample_id,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,quarter,study_id,study_url,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter,IncAnalysis,RND,HSD,EA,HH,ID,HHID,HHID.rnd,Plate,Sample.identifier,Row,Column,Well,MolSpecies,Expected.species,kdr,N1575Y,Cyp4J5,Coeaed1,Pfal.score,OVM.score,Pfal,OVM,X2La,Cyp6P4,ZZB,X6AA,X6AA_Dup,lat,lon,survey,LLIN.intend,LLIN.actual,Net.intend,Net.actual,subregions,Wave,HSD-name,Arm,Arm_ITT,Arm_PP,cohort_admin2_round,cohort_admin1_round,cohort_arm_round,cohort_armpp_round,cohort_subregions_round
VBS64751-6645STDY13043455,103806008014,Martin Donnelly,Uganda,3806,2017,5,0.415,30.27,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Kabarole,funestus,UG-W_fune_2017,UG-W_fune_2017_05,UG-W_fune_2017_Q2,UG-W_Kabarole_fune_2017,UG-W_Kabarole_fune_2017_05,UG-W_Kabarole_fune_2017_Q2,1,1,38,6.0,8.0,14,103806008,3806008,14,91,H,7,7H,FUN,GA,SS,,,,0,0,0,0,,,,,,0.413272,30.27228,baseline,2,2.0,2,2.0,Mid-Western,4A,Burahya,PermaNet-3,PBO LLIN,PBO LLIN,Kabarole_Round-1,UG-W_round-1,PermaNet-3_round-1,PBO LLIN_round-1,Mid-Western_round-1
VBS64769-6645STDY13043473,103806008032,Martin Donnelly,Uganda,3806,2017,5,0.415,30.27,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Kabarole,funestus,UG-W_fune_2017,UG-W_fune_2017_05,UG-W_fune_2017_Q2,UG-W_Kabarole_fune_2017,UG-W_Kabarole_fune_2017_05,UG-W_Kabarole_fune_2017_Q2,1,1,38,6.0,8.0,32,103806008,3806008,14,22,B,10,10B,FUN,GA,,,,,0,0,0,0,,,,,,0.413272,30.27228,baseline,2,2.0,2,2.0,Mid-Western,4A,Burahya,PermaNet-3,PBO LLIN,PBO LLIN,Kabarole_Round-1,UG-W_round-1,PermaNet-3_round-1,PBO LLIN_round-1,Mid-Western_round-1
VBS64794-6645STDY13043498,102207074001,Martin Donnelly,Uganda,2207,2017,4,1.548,31.623,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,7.0,74.0,1,102207074,2207074,15,25,C,1,1C,FUN,FU,,,,,0,0,0,0,,,,,,1.550628,31.62763,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64799-6645STDY13043503,102204042019,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,19,102204042,2204042,15,85,H,1,1H,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64800-6645STDY13043504,102204042027,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,27,102204042,2204042,15,2,A,2,2A,FUN,GA,SS,,,,0,0,0,0,,,,DD,Dup,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64804-6645STDY13043508,102204042038,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,38,102204042,2204042,15,50,E,2,2E,FUN,GA,,,,,1,2,0,1,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64806-6645STDY13043510,102204042053,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,53,102204042,2204042,15,74,G,2,2G,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64807-6645STDY13043511,102204042029,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,29,102204042,2204042,15,86,H,2,2H,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64808-6645STDY13043512,102204042030,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,30,102204042,2204042,15,3,A,3,3A,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64809-6645STDY13043513,102204042020,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,20,102204042,2204042,15,15,B,3,3B,FUN,GA,,,,,0,0,0,0,,MM,ZZ,DD,Dup,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64819-6645STDY13043523,102204042005,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,5,102204042,2204042,15,40,D,4,4D,FUN,GA,,,,,0,3,0,1,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64822-6645STDY13043526,102204042024,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,24,102204042,2204042,15,76,G,4,4G,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64823-6645STDY13043527,102204042022,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,22,102204042,2204042,15,88,H,4,4H,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64824-6645STDY13043528,102204042015,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,15,102204042,2204042,15,5,A,5,5A,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64825-6645STDY13043529,102204042002,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,2,102204042,2204042,15,17,B,5,5B,FUN,GA,,,,,2,1,1,0,,,,NN,WT,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64829-6645STDY13043533,102204042031,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,31,102204042,2204042,15,65,F,5,5F,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64830-6645STDY13043534,102204042046,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,46,102204042,2204042,15,77,G,5,5G,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64833-6645STDY13043537,102204042010,Martin Donnelly,Uganda,2204,2017,4,1.672,31.505,F,1288-VO-UG-DONNELLY-VMF00219,1.1,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Western Region,UG-W,Masindi,funestus,UG-W_fune_2017,UG-W_fune_2017_04,UG-W_fune_2017_Q2,UG-W_Masindi_fune_2017,UG-W_Masindi_fune_2017_04,UG-W_Masindi_fune_2017_Q2,1,1,22,4.0,42.0,10,102204042,2204042,15,18,B,6,6B,FUN,GA,,,,,0,0,0,0,,,,,,1.676023,31.50229,baseline,1,1.0,1,1.0,Mid-Western,3,Bujenje,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Masindi_Round-1,UG-W_round-1,PermaNet-2_round-1,Non-PBO LLIN_round-1,Mid-Western_round-1
VBS64888-6645STDY13043592,208605021008,Martin Donnelly,Uganda,8605,2017,9,1.555,33.828,F,1288-VO-UG-DONNELLY-VMF00219,1.1,3,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Eastern Region,UG-E,Ngora,funestus,UG-E_fune_2017,UG-E_fune_2017_09,UG-E_fune_2017_Q3,UG-E_Ngora_fune_2017,UG-E_Ngora_fune_2017_09,UG-E_Ngora_fune_2017_Q3,1,2,86,5.0,21.0,8,208605021,8605021,21,1,A,1,1A,FUN,FU,,,,SR,0,0,0,0,,,,,,1.549054,33.82803,6 months,1,1.0,1,1.0,Mid-Eastern,2,Ngora,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Ngora_Round-2,UG-E_round-2,PermaNet-2_round-2,Non-PBO LLIN_round-2,Mid-Eastern_round-2
VBS64889-6645STDY13043593,208605021015,Martin Donnelly,Uganda,8605,2017,9,1.555,33.828,F,1288-VO-UG-DONNELLY-VMF00219,1.1,3,1288-VO-UG-DONNELLY,https://www.malariagen.net/network/where-we-work/1288-VO-UG-DONNELLY,UGA,Eastern Region,UG-E,Ngora,funestus,UG-E_fune_2017,UG-E_fune_2017_09,UG-E_fune_2017_Q3,UG-E_Ngora_fune_2017,UG-E_Ngora_fune_2017_09,UG-E_Ngora_fune_2017_Q3,1,2,86,5.0,21.0,15,208605021,8605021,21,13,B,1,1B,FUN,FU,,,,SR,0,0,0,0,,,,,,1.549054,33.82803,6 months,1,1.0,1,1.0,Mid-Eastern,2,Ngora,PermaNet-2,Non-PBO LLIN,Non-PBO LLIN,Ngora_Round-2,UG-E_round-2,PermaNet-2_round-2,Non-PBO LLIN_round-2,Mid-Eastern_round-2
